TransactionID,Amount,Method,CustomerID,CompanyID,Timestamp,Hash
59,3920,Debit,70,4,2024-12-11 19:33:36.223359,799149309e02911754c41528286ff3f22b37950949529aecbcca2cafde44e6bf
60,2794,Transfer,52,6,2024-12-11 19:33:36.223359,3752c798f0cc5129983db316f096ad5dd6171ad9c8a50470f1dc6286defabb2f
61,2015,Credit,58,2,2024-12-11 19:33:36.223359,7c46f0fc691a01bd28b84f0c10f2075f337eafa0bc092f1633e9ac9c037d68f3
62,1086,Transfer,9,6,2024-12-11 19:33:36.223359,0f0f5c285aebf09da6b349357d3f121896faba6b8c7d5d53dd41be4214b72a9f
63,3410,Credit,71,4,2024-12-11 19:33:36.223359,70f3bf6a67276e456c22851aefe8dee18521df065952e303ebb5000ca750acb7
64,3899,Transfer,1,2,2024-12-11 19:33:36.223359,5bf82e1b1cc76317c4ab2a9ecdc06a2a3be019234936826ddb4db946d2f72ab4
65,1276,Credit,8,4,2024-12-11 19:33:36.223359,3d3f6224945e074b74d1a936ca9513cac397788af5f9521b584472bc3ba53813
66,3105,Credit,43,2,2024-12-11 19:33:36.223359,89552b7ae6e92645f0cdcba2c4fc3321e344099bbb4cbf951b4f28609f22fb64
67,1877,Transfer,36,8,2024-12-11 19:33:36.223359,497c326f4684d724e654f8a687bee0f3cc17196fc6cc357fdf4f05bdc97f4873
68,3360,Debit,17,10,2024-12-11 19:33:36.223359,6c46ab308648d34e584a6d003f795beb594be5f4f5d5d3728e680324f4bf1881
69,4307,Debit,32,8,2024-12-11 19:33:36.223359,9cda6229c8f5e58a973192c29281f7c7a5a9395865d2d94d3d84578b2f309358
70,1397,Transfer,25,2,2024-12-11 19:33:36.223359,9eb84f49a55c49b2746e0bb47481dbea061aea69fef15e1d18108972409ccc8c
71,2734,Debit,56,6,2024-12-11 19:33:36.223359,eb7bd24bd14ad7e13edeac38cf3e371809b5c0a1fbcd949c29f5971246d344b1
72,3758,Transfer,60,1,2024-12-11 19:33:36.223359,1e1555cb1650ebf6e0a9de5de0e7cec1402fbe3f1c942c71b5e6e2804b801204
73,1248,Debit,83,2,2024-12-11 19:33:36.223359,31a2c842015a1639129aa6c52df44dc6193725eb2ce00ae854763c9eb936878a
74,4279,Credit,94,6,2024-12-11 19:33:36.223359,d79811d7284f797091b1a599b0890308fb17516aaadad28af5d00990b3d09870
75,1779,Transfer,32,4,2024-12-11 19:33:36.223359,3ca7aadeb843e39fa3dc697ff26c8eb3d143be85eee30b2df1953736a88e71ca
76,2728,Credit,58,3,2024-12-11 19:33:36.223359,d769567bdc06cbb65f597dc790105ffe6d25c558177d3e964ae958a73882037c
77,2023,Credit,36,8,2024-12-11 19:33:36.223359,8d08a7546a12a3c038b283fe400e396051d4bfa2cd7360b194273b8fb20a6e1e
78,1401,Credit,57,9,2024-12-11 19:33:36.223359,2d35e3c819b1b2540c8fa8c44935cffbbc9fbaa199c14565c2b60047af9ec5a0
79,4424,Credit,84,9,2024-12-11 19:33:36.223359,a0a623c8330c14120ec594b7323911f0ca4dd52c3fcc81c8922f99aa21d31598
80,1681,Debit,12,4,2024-12-11 19:33:36.223359,46a72264c925d8836e6818bcc267aa998895ea73d428b27a1ec36ac779315015
81,1875,Debit,63,8,2024-12-11 19:33:36.223359,07a124e3512b4b0e31ac7af24a490d9ed897efdf95b7f98f1fe78745b0c3b62c
82,2552,Credit,8,3,2024-12-11 19:33:36.223359,5155eb39e0a87cbadfc1ea76c89720178d5dd8f2bd74e36b2421094291fb61e5
83,4795,Debit,50,5,2024-12-11 19:33:36.223359,6a00811734b76aae3286721278bc169798560b67c2f4ae450bbd5ef2debc16f2
84,3853,Transfer,37,7,2024-12-11 19:33:36.223359,c1219b1ed0bfb9ada2ce09ff32f09928636b3c75e25731d6b68b8b748a87baa6
85,1634,Credit,72,8,2024-12-11 19:33:36.223359,9cca65355fb535369974f4be8779c798356f0d2ebdcc9ec7f0353892c39d5de7
86,4967,Credit,38,4,2024-12-11 19:33:36.223359,fb2e91380bf5cb39dd256f5e0117238bdaa613b3c9e485707de1f8fd9674ccdf
87,1249,Transfer,75,9,2024-12-11 19:33:36.223359,bfbc848fa05dfaa18daa5388cbb99c01022103c367129618862a0a9b2d9f6c96
88,1205,Transfer,41,1,2024-12-11 19:33:36.223359,c91aa8f813eac6955b4ecf34eaee174004392ce197019d1b4392ea0b5c6ecbf5
89,4765,Transfer,62,9,2024-12-11 19:33:36.223359,47cfa3067b0e3ead875561194efdb87e971c4fcdad0b0e8c3f0428c5df8d55b8
90,4935,Transfer,21,1,2024-12-11 19:33:36.223359,345514baa0910d62d674d9b2265d9f6c467f84e4ca5e3be78ff0120314247372
91,1280,Transfer,11,3,2024-12-11 19:33:36.223359,b92cb55f593ea1427fded30442b6372f26d3b63932c5f493fd08f767067be8af
92,2653,Credit,9,4,2024-12-11 19:33:36.223359,394107141c408f052ff6a787d814b35d86f254a3a90464345ff50e1c8140f123
93,3371,Transfer,73,4,2024-12-11 19:33:36.223359,72720acae8fd19db209a7e11a3cc9bb9fc493ac17b7b46fbf88c73568ab18566
94,1335,Debit,6,10,2024-12-11 19:33:36.223359,2c772252feff94a92f471b27ff87dc6e48229c0d28da6b90b92e58692588e121
95,3315,Transfer,85,10,2024-12-11 19:33:36.223359,517816d3e1e5766b16bb9be82870056ea1df1422e9cf31b8ba9fd8482a637599
96,1836,Transfer,41,5,2024-12-11 19:33:36.223359,495c38f15232974696eb97b830acf66b168bc57abbd0e7e62f8c62ae748aa506
97,1977,Debit,92,6,2024-12-11 19:33:36.223359,bc817d3ce03c7b2f8d82c5adc33c5a0da423fcd1e43fcac8600e4ea0c980d1a8
98,3751,Transfer,51,3,2024-12-11 19:33:36.223359,ce0d6fdd957c3bddeb273ccff7955d21385206b15e20c7035a10f9493822019c
99,2295,Credit,39,8,2024-12-11 19:33:36.223359,52e8f085a7fcb6fccf5ade04d8bbea4fa2ada3c50ed6d35735c593c6cc5997d0
100,3544,Transfer,2,8,2024-12-11 19:33:36.223359,9a410d9a8924335cc701602102a09872fce70bf2ce43714a4fbacf990e1fa5a7
101,3202,Credit,13,2,2024-12-11 19:33:36.223359,919a0aa72fcd9a873e57bd22f0d9a4f4f7ab9d2c7405e1f239c45080dbea4bb6
102,1542,Debit,65,5,2024-12-11 19:33:36.223359,dea996d718f6920e1b3003d687562696e83d609d35edd5a3fd3ea320fd1b4d23
103,2513,Debit,9,4,2024-12-11 19:33:36.223359,9b8384473a4aacb920b6d40b54c5c4953075c8ea63517f8e02fd5f839ae6f744
104,4415,Transfer,21,8,2024-12-11 19:33:36.223359,fd37496f41d2593814cab3aa8e8a9cbc75e39bed7b5fc5ec3fbe281aecaf1c32
105,3505,Transfer,91,5,2024-12-11 19:33:36.223359,292fbea20aa8917b6003623cec03acc82c8e1e2a82d97c637d9e603dd681b5ef
106,3735,Transfer,68,1,2024-12-11 19:33:36.223359,4c6b143e0bb1adb29f198066fcec5a4dad1cbb5cd5c584742818ae3b5e0bcc5c
107,4845,Credit,39,2,2024-12-11 19:33:36.223359,eea0d34f418f76af2c8bc55e6d7219eeb2f3793b1c1b0f6f5eac2f6ed49913bb
108,4644,Credit,34,2,2024-12-11 19:33:36.223359,751dc53a5b61c402839459a9ba388090eb11ba9add74fbe47217b293b4abf63a
109,1636,Debit,96,9,2024-12-11 19:33:36.223359,5197496fec892f5243c22c15a13b348a5adcedf67f41b733d05b3899364ebef1
110,1862,Transfer,37,10,2024-12-11 19:33:36.223359,0a8180ff4bc3831aa16e3f1d3f4f59f77fb85b06bb63f75c87b464919f75c8fd
111,3815,Transfer,44,4,2024-12-11 19:33:36.223359,744a10bc776cd4dfacaaf098b2ebddd31b493d1ac485cbf2fd850701d5fdfbfb
112,3001,Debit,34,9,2024-12-11 19:33:36.223359,019cef57f3125d3a58d708e3d75e6a4f78204591cb16e13255d63f249fb7535e
113,3598,Debit,7,2,2024-12-11 19:33:36.223359,e4fa715666fa96d50f48b4a2f88620c0c00b208c8bdb1709c8a48a7448501f05
114,1014,Debit,36,1,2024-12-11 19:33:36.223359,1eee60a5dc1dd80f48c6a9b066a199edaafbd68bb83d330488c6e5cd90cec1c0
115,3609,Debit,99,3,2024-12-11 19:33:36.223359,e86bb5c1760355bc70f6b660da2b6c868c3b6a8d1cbbaa1017bd153cc0b3c30d
116,3259,Transfer,21,8,2024-12-11 19:33:36.223359,13a421a398898a80410a7eeef2e0ce6dde80e224c061ff6b01a87b896a5b525e
117,1039,Credit,55,9,2024-12-11 19:33:36.223359,924214227cd43340396b12035f6c876ad68eb0d915bd73bbefb9b732e0ca4dc4
118,3234,Credit,10,3,2024-12-11 19:33:36.223359,ee17a145f0401bb45fee5dfb8854c934bd0c9cfa5229200f169609411031386a
119,3263,Credit,48,10,2024-12-11 19:33:36.223359,b53ef82dd71e96f7dafb8702ca3f7e4fd84a5b645fbad31d9060cf1b3c714356
120,1171,Debit,56,3,2024-12-11 19:33:36.223359,efa2deaf637d18320b6c408b9b1a115f65192e0d4c4f857d3322b846a593d1c1
121,4681,Debit,47,1,2024-12-11 19:33:36.223359,97634ac33f2d8e2b367c361fa83ee94f80dd29b78590791310b33640c170daca
122,3731,Credit,27,4,2024-12-11 19:33:36.223359,a7ad0e98aea529eb2a9d8093b3a4dbc99484ca93a3b2b646d0655dcac8bd57f0
123,4621,Debit,46,9,2024-12-11 19:33:36.223359,3a8eb32d2d166019268a65751c2d7b52f42f5cf802d56dbd52e6e8734bf45574
124,4791,Credit,80,3,2024-12-11 19:33:36.223359,19a470b2b2d35abd3c8ee09dd4dd37e4b96cecb74421d05b2eb3501a4faa3464
125,4610,Debit,21,3,2024-12-11 19:33:36.223359,78a5a66bca751310a303814009a830bc8ac89d9e63bf1b1a9cc8e57a6cadc743
126,4016,Debit,4,3,2024-12-11 19:33:36.223359,acf2e4efba11c53c5c0f38af0992c9a42c15d10631a58735e231ddee81de9ede
127,2092,Credit,53,4,2024-12-11 19:33:36.223359,cb3e39eccd2f469883bbde44c478bddb6df1a2dd04318689e935c55f186f127f
128,2566,Credit,90,2,2024-12-11 19:33:36.223359,b8ac72240e9286bcb4e94ac1a6d18838f2f03da3032947a1796cefe4f44bd212
129,1817,Debit,61,4,2024-12-11 19:33:36.223359,f907af511c0f96d3cdacaf2878969768327343b82b5a5f3122a580abcfa4272f
130,4360,Credit,45,5,2024-12-11 19:33:36.223359,ec3f35fbe2df870ae733154daa11aa1fbc7f53a89f3355baf9020aed259a0ec7
131,3703,Credit,29,1,2024-12-11 19:33:36.223359,f310597a68b384f2b5a8cc603d4ee8a3a6331455b138ea5204703c4b620cf200
132,2141,Credit,52,6,2024-12-11 19:33:36.223359,f09758c7f3dd74caf1c395796f723dc6ce88ded2df6ce7e560a3e29a278295d7
133,2438,Transfer,99,5,2024-12-11 19:33:36.223359,78af3c379683c19dc2cb3ff02ab3359fd851f1e4c43300e70513a038a58b352f
134,3783,Transfer,66,7,2024-12-11 19:33:36.223359,4772f54e697431fa0570d14f69fac28e6d07f40f19e41766d499f06e1fb5e98f
135,1472,Debit,43,1,2024-12-11 19:33:36.223359,4263311a188bce948ea9287464ded0fca96d508da1b27328955fc82822d73f3b
136,4942,Debit,23,10,2024-12-11 19:33:36.223359,f2ba9ff322aa9d2db7c0008d0ac596dbe709a992ae879ee5930370df240d4d0a
137,3443,Debit,5,2,2024-12-11 19:33:36.223359,6da15ae0c2722e6a285f37155642f7b336bc00af87d8fc07f85184a8b8aa3d96
138,2787,Transfer,45,6,2024-12-11 19:33:36.223359,6a3e37572b72470616b5f03d8f55fdaa2b87a7a197b8334c088b39f25c4c0462
139,2577,Transfer,66,2,2024-12-11 19:33:36.223359,515db73cad6de1d969d3c742322f0043c185f9f1d1d5c417ecc58842bbc00102
140,1181,Transfer,25,5,2024-12-11 19:33:36.223359,916755dd5d1a6b84cac5de4a3b61514189ecda3da9d55984b94e2c4b392cf043
141,3129,Transfer,56,1,2024-12-11 19:33:36.223359,e404de7ff58880ddd06b8784adfdfd6a815805a7f914eeca8038c460ff93da81
142,2491,Debit,88,4,2024-12-11 19:33:36.223359,091e02edcee6c7948815c2813f5a47bd919517b834bfab49d5f14e71ce03b467
143,3552,Debit,9,6,2024-12-11 19:33:36.223359,7b80c787b7ccdfa2ed0b392f79eae67ae073637795ad6bd8e45b79fb6a0fa49f
144,3948,Debit,85,2,2024-12-11 19:33:36.223359,d4fa6270f32cabb6f5c7491a1a5c0a76091fad00f85571614631fc48a956ffac
145,3731,Debit,65,5,2024-12-11 19:33:36.223359,3c45c46b6410bfc65f0a4de8899bb25b6a1e8fdc4726778f9731f180899aeb09
146,3855,Debit,42,7,2024-12-11 19:33:36.223359,45184a47fab00f9eefbc86a6382089b0f838cabb27cc8a213d6236d4bf6b6488
147,1785,Debit,71,3,2024-12-11 19:33:36.223359,7ede6ae622a702a6ef3ce506da58b6987a81b64c9cb0822e9090f61f8bb4ef2a
148,3774,Transfer,86,7,2024-12-11 19:33:36.223359,1a77bb3081b14f1bf517f2ef88bf50b2e00b6b8087ad1315c1a9edc1151eaa70
149,3331,Debit,23,10,2024-12-11 19:33:36.223359,1c775a5dae705d79a87fff3a1e7c240d96bd0acd893d051b3fb1490cc24c6742
150,4414,Credit,52,9,2024-12-11 19:33:36.223359,6a307975b9d32b64e44f10c89f43d33b49157177ce844b8f5279597fd27bbe21
151,1860,Debit,39,5,2024-12-11 19:33:36.223359,68ffb30c2a9d9b09da103761bb062376d2bca3a0fa6fd01f849179f46e51b9e9
152,3681,Debit,75,10,2024-12-11 19:33:36.223359,0d6114300534765c20f1d28bc423010e6c277b45aae248cc958d9417212dc19c
153,2811,Transfer,60,8,2024-12-11 19:33:36.223359,e124bf3427c0e0bd767ca0ab1160d854a787ee024e3a43d233e5c717bee15b62
154,2938,Transfer,28,9,2024-12-11 19:33:36.223359,c96abffb50bc8426cc2081d42fc7384615ed31fbc7e04a5ab0ff7c94d29239da
155,2162,Transfer,22,2,2024-12-11 19:33:36.223359,088b2b5e02ba54aeb413fa7d8b0065e55a2e91a7128d15beb9d25b4b00be424a
156,2372,Credit,85,10,2024-12-11 19:33:36.223359,200ce4d6e28361b23464ef46be4411fbc0c186343f458fd100bd9d4b0570d0c5
157,3755,Debit,97,4,2024-12-11 19:33:36.223359,f696a34647e66b161576f5152879821c2a0950646b1da4156c380bac6fc91455
158,1603,Credit,29,4,2024-12-11 19:33:36.223359,7bb7e77501efbfb5b2783bdf2c4ac3da8651dd5efd1cdcd0224fc2778e2ebb40
159,2946,Transfer,6,4,2024-12-11 19:33:36.223359,8204a36a68180f3301d820c689b80e761be46e1dad8804118b274bcdb525528f
160,2865,Debit,99,2,2024-12-11 19:33:36.223359,7700bbe4031d49eeacc3c06ae265d45f8ca3b68a75a883e0c8c25233078da7fa
161,1796,Transfer,81,10,2024-12-11 19:33:36.223359,5527589ad8bffb78c465292fb172dc3a5fd44b6a193814dbe837439ec1107ed4
162,3024,Debit,90,7,2024-12-11 19:33:36.223359,c36b4b90a74431087d3ac7a672eaa5a9f316f3de11b77eb61c65cc07d660622a
163,3687,Transfer,32,3,2024-12-11 19:33:36.223359,c8cab4cf310d819cc0a9825ff80aa6a69408527d0c580b311078ae9493914d74
164,4188,Debit,1,2,2024-12-11 19:33:36.223359,469f9bf07f7c157474b34d5f87a3d32389b06aa6a40154fdab0441680e228a71
165,4293,Transfer,29,3,2024-12-11 19:33:36.223359,f027124bc9de5d4915ea82fa5b5f80cc652e4d3a5cf340fb89c342de87b346f8
166,1205,Transfer,67,8,2024-12-11 19:33:36.223359,c6a55a532245784d062104a0a2b6560ca7d1beaa61198606b04c5d090ea8e096
167,2869,Credit,32,2,2024-12-11 19:33:36.223359,02a0860a9da5393ee729f5351bea9d98bf5bf789c651432b407208291373afe8
168,3289,Transfer,60,9,2024-12-11 19:33:36.223359,4f840daddaea3b74d7e6bd0c75c235575ed5c80bbcb3ed7d7affd8dca108acab
169,3509,Transfer,41,8,2024-12-11 19:33:36.223359,b3074143f8ba78881be89762a31207cbb8deae8acbea52e828250dd06daf0780
170,4402,Transfer,65,7,2024-12-11 19:33:36.223359,09989ae87216017de202b5db4da4ae31817bbc6d9505d207410d16d4ec9a17c8
171,4046,Debit,58,3,2024-12-11 19:33:36.223359,f21154cdc2212c5e4115aa3730d41ec76f1a5115909b59cf2f0729c7fa22717d
172,4079,Credit,58,5,2024-12-11 19:33:36.223359,1a5c924ed1df94ec6876a905d9a570029711608259ec63b4cd2de2156a8ab494
173,4136,Transfer,82,5,2024-12-11 19:33:36.223359,f88e85cc16779fa67ffdfc2d4a2a6857b7200337f37736e61e079a6226d99ab3
174,2124,Debit,63,4,2024-12-11 19:33:36.223359,fcc864827e226c02de0a7f37d2b89b2934572e3c28c228351fca2efa7f59ab2e
175,1960,Debit,10,5,2024-12-11 19:33:36.223359,d080c63d797abad99dfd2dc11b23ae0b7a72f5b8b17b8bed410f9d1d58fa983b
176,4657,Transfer,43,6,2024-12-11 19:33:36.223359,5ac1448bd01af294e145935798d90460a5e90c502bfc9fed97da7a1d933a655f
177,1617,Credit,11,3,2024-12-11 19:33:36.223359,4bce9d4bcb652ced5db56a701db49e952a9623c713e3fe55cb5a9ef6148ae777
178,3893,Credit,50,3,2024-12-11 19:33:36.223359,924f486915edfb08c8abc6a9a1c0871974accb15d57e962212668b92d00c5c15
179,2669,Debit,9,7,2024-12-11 19:33:36.223359,dd335c2fbe3b8fc94e60996cf1351fe7591b587fe004ee84c49eccd1d7ab78bb
180,2703,Credit,70,8,2024-12-11 19:33:36.223359,8b6cf74382bef0cc42d58502c5edf0e6b436d50852b356b5cc3daa0c8139b0d8
181,2595,Transfer,27,7,2024-12-11 19:33:36.223359,de816a49aaf3d9a6929716c5bea4b3b68b0020a19930fb6490e31dac244d2533
182,4509,Transfer,90,1,2024-12-11 19:33:36.223359,d16b57609f6863f64ce846f9a026e9ae361750215fa65e0d7f43a1b2b94d4002
183,1024,Debit,49,8,2024-12-11 19:33:36.223359,ebf00e799beae5da9b7481019d850e822f624205dd46223f18eb0712b9d44077
184,4495,Debit,39,7,2024-12-11 19:33:36.223359,21d9ef993326cf80f86e3cd0c8433fa70c3316c965cee7382e365ab9969f6676
185,4276,Transfer,69,9,2024-12-11 19:33:36.223359,ae12ad33b28174a078012e5e88e6dc57152f1b83e952bc8c98fd9b710b8ee27f
186,1898,Debit,29,8,2024-12-11 19:33:36.223359,e271e0c0a0d28738db13397f0b31c1fe82bcd307a9e2953e41fdf1ba506b5ac7
187,1118,Debit,56,8,2024-12-11 19:33:36.223359,5e0a19f5b71814fe6ad5cecd3c6a2ac0230b37241739ef113f9edee2763ac37a
188,3966,Credit,44,7,2024-12-11 19:33:36.223359,ecd182f44f56f4e0184636bbc405834b912872daa2453c2003165adcb095133d
189,3548,Transfer,60,3,2024-12-11 19:33:36.223359,133969c5fc340cc6199b3922bb031e410f7fc4e35ddad43b5d46ef3aa10f9ef1
190,3424,Transfer,4,7,2024-12-11 19:33:36.223359,e24eec099755d2f2196747d6f28142c97f823d4ad2448812e127cb08785326eb
191,1343,Transfer,85,1,2024-12-11 19:33:36.223359,a95210485ab093fcbacd61171242623c7bd67e9021d1c9394afa0d19913d6f71
192,4550,Debit,55,3,2024-12-11 19:33:36.223359,3e03e60a74bc30778473bb3230b0b0b0db665be22206ed8a06a0f477a6b7acc6
